@relation 'WDF-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,16'

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute A1 numeric
@attribute mu2 numeric
@attribute A2 numeric
@attribute sigma4 numeric

@data
464,15,6148.87,3,4,2,5,3,78.915982,74.960162,6,2.002917,19,1.789544,1.204819
467,36,6472.49,4,0,3,1,3,129.178381,123.710833,6,0.701112,19,2.143187,2.564103
468,42,3236.25,4,0,3,1,3,153.135017,131.074394,8,1.262132,18,2.873117,2.666667
469,42,1003.24,4,0,3,1,3,334.971858,268.072349,6,1.869214,19,1.622885,1.6
478,36,2589,4,4,3,5,2,73.441228,62.726035,7,2.348197,20,2.300394,1.509434
481,140,9061.49,5,4,2,2,1,91.92053,91.92053,6,1.732618,17,1.325873,1.538462
491,27,1132.69,5,4,2,2,12,154.36907,125.135761,8,3.936972,19,3.506826,1.724138
497,15,1132.69,6,4,2,5,2,135.966924,117.776399,7,1.611811,20,4.119326,2.051282
502,42,291.26,8,4,2,5,2,315.822953,315.822953,6,8.765031,18,8.533664,2.857143
504,36,0,5,4,2,5,3,229.445923,229.445923,6,6.3308,19,7.599981,1.190476
505,36,0,6,4,2,5,2,165.079789,165.079789,8,2.651942,19,2.656647,2.083333
508,175,1779.94,3,4,2,2,3,118.527557,118.527557,6,1.606686,19,3.17202,1.818182
519,48,0,5,4,3,2,3,76.221812,64.971433,7,1.062554,19,1.225336,1.162791
590,88,1339.29,6,4,2,8,4,355.141613,306.89463,6,3.141682,18,4.034899,2.105263
592,88,8928.57,4,4,2,5,3,475.959169,427.87598,6,4.087969,19,4.315028,1.666667
593,35,2976.19,4,4,2,5,3,175.47402,155.704377,6,1.841562,19,3.368607,1.333333
594,78,4464.29,4,4,2,5,3,165.76691,150.465979,7,1.649524,18,2.895828,1.967213
595,120,23809.52,6,4,2,5,4,84.616501,73.43813,6,1.323226,19,1.047539,1.754386
596,40,2083.33,5,4,2,5,3,122.841185,103.208835,9,0.754574,19,1.796322,1.315789
597,40,892.86,2,4,2,5,3,65.569081,60.773088,6,1.083006,19,1.049784,1.587302
599,40,2083.33,3,4,2,1,3,117.390966,100.634594,8,0.166718,20,0.605079,2.051282
600,32,2678.57,4,4,2,5,3,154.611311,124.608889,6,2.196263,19,1.356393,2.564103
606,77,1488.1,2,4,2,5,3,79.841663,62.686062,6,1.417479,19,1.129741,1.818182
611,54,2976.19,3,4,2,5,3,299.484609,295.807464,9,1.229246,19,3.218471,1.515152
612,99,2678.57,5,4,2,5,3,103.359769,96.620175,6,1.115821,20,0.581035,2.051282
615,40,1488.1,4,4,2,5,3,181.996799,156.863208,6,3.19975,19,4.731065,1.515152
618,70,1488.1,4,4,2,5,3,118.689075,126.087504,4,0.469766,20,0.465804,5
620,35,2976.19,3,4,2,5,3,66.228074,57.752006,8,0.82332,20,1.126921,1.702128
622,99,892.86,2,4,2,5,3,114.174159,81.198558,6,1.963985,20,1.667269,1.269841
625,84,2380.95,10,4,2,5,3,500.288691,413.324823,6,3.459209,19,6.186246,2.040816
627,120,2380.95,3,4,2,2,3,164.082662,146.675212,6,1.683995,17,2.555404,1.627907
632,77,2380.95,9,4,2,5,3,108.074904,91.383944,7,1.504299,19,1.795101,2.325581
633,80,1398.81,3,4,2,5,3,108.445353,94.116597,3,0.140726,21,0.176934,2.857143
635,40,4464.29,5,4,2,5,3,98.022329,375.881728,5,1.22208,20,2.434822,1.15942
637,90,1041.67,1,4,2,1,3,100.520623,63.997303,7,1.083376,18,1.854803,1.518987
639,120,2976.19,3,4,2,5,3,112.71265,90.939951,6,1.511627,18,1.562725,2.727273
640,120,2589.29,3,4,2,5,3,484.598014,345.306729,7,5.685315,20,5.364119,1.066667
646,216,5952.38,5,4,2,5,3,133.196953,147.976114,7,0.667279,19,2.164179,2.222222
647,140,2380.95,3,4,2,5,3,135.152505,125.630324,7,0.937567,19,1.617534,2.325581
662,208,7440.48,6,4,3,6,5,824.481133,620.153262,7,8.309439,17,13.711715,2.5
663,144,0,1,4,3,6,11,536.437505,466.25053,9,5.686001,18,0.645658,0.504202
664,132,1398.81,1,4,3,6,5,752.499056,308.284963,7,8.164306,19,8.790484,1.818182
667,255,11904.76,5,4,3,6,7,1452.853307,890.279643,6,20.476457,19,14.845556,2.12766
673,306,16369.05,10,4,3,2,27,1832.653328,1108.697706,6,8.996724,20,13.356511,1.818182
674,216,18764.88,5,4,3,2,13,1396.453433,949.660653,7,7.969871,19,17.633068,2.564103
682,135,9226.19,4,4,3,2,3,791.642273,596.954559,6,6.730764,18,8.498042,2.142857
686,96,13467.26,5,7,3,2,5,679.979646,514.228133,10,3.586951,19,7.108154,2.702703
688,324,14880.95,5,4,3,2,2,967.579575,730.402563,5,7.032128,18,8.307081,2.5
689,224,11904.76,4,4,3,2,2,995.914918,768.177542,7,16.309827,19,13.009444,1.960784
697,210,0,3,4,3,6,18,1168.604288,780.78993,8,12.861524,18,13.167384,1.904762
698,180,7440.48,5,7,3,2,34,933.90408,640.575024,7,9.342099,18,8.289713,2.608696
701,240,0,9,7,3,6,5,2497.824512,1142.263101,6,14.663564,20,13.455404,1.568627
704,143,2797.62,2,4,3,2,5,1045.980508,610.678454,6,7.634188,20,5.939288,1.25
705,143,4761.9,5,4,3,6,5,1178.673854,747.582103,6,12.743119,16,9.038973,3
712,195,14880.95,3,4,3,6,18,1114.010099,910.143636,7,11.364319,19,12.033761,1.587302
717,182,3779.76,3,4,3,6,23,552.47035,534.769792,10,5.8385,19,6.747826,2.5
718,210,22916.67,4,4,3,2,5,802.389087,834.832782,6,8.783835,18,9.975854,1.395349
720,323,17857.14,4,7,3,6,20,735.532254,609.194856,6,5.315818,19,8.596367,1.470588
721,225,13392.86,5,4,3,6,12,956.188289,810.102221,7,7.04654,21,9.894152,1.363636
729,72,2648.81,6,4,2,4,2,166.496762,69.54668,6,0.420556,19,1.428641,2.222222
732,108,3571.43,6,4,0,2,3,303.268433,114.867538,6,1.306068,16,2.86571,3.137255
740,72,3571.43,5,4,0,4,27,282.04501,99.171265,6,3.278318,18,3.709152,2.068966
742,90,5357.14,5,4,2,4,15,251.369059,77.205146,6,1.754068,18,4.058619,2.4
745,29,1785.71,4,4,2,4,3,1172.395172,535.990581,6,8.213586,19,8.822968,1.818182
746,112,1041.67,10,4,0,1,3,217.527437,188.226856,6,2.642216,17,3.168137,1.573034
747,90,892.86,5,7,0,1,4,343.196187,221.44359,6,2.430924,18,3.122359,3.076923
749,112,5952.38,6,7,3,2,4,209.362359,72.498076,5,3.672775,19,2.418641,1.515152
755,67,7142.86,2,4,2,4,3,229.17829,105.301553,6,1.704256,19,3.61519,1.612903
758,48,5565.48,3,4,0,1,3,1411.030194,420.936888,8,3.280485,19,4.356041,1.694915
759,72,2678.57,5,4,2,1,3,242.773995,99.128039,6,1.389222,18,3.023046,1.5
760,82,5773.81,7,4,0,4,3,431.404964,193.939559,8,2.407051,19,4.995129,1.818182
761,55,1190.48,3,4,2,4,3,398.655112,165.694423,8,2.867636,17,3.740986,3.181818
763,48,3422.62,1,4,0,4,3,886.870106,464.243768,6,8.998329,19,6.507302,1.886792
770,72,4761.9,5,4,0,4,4,543.492939,182.707194,5,6.371175,19,6.684873,1.818182
773,54,8035.71,5,4,2,4,15,84.999578,128.957003,6,2.718575,19,3.329158,2.380952
777,72,2380.95,6,4,0,4,3,123.62092,54.367681,6,0.795449,19,2.019261,2.702703
779,67,1190.48,6,4,3,4,20,77.86048,122.235272,6,3.947649,19,4.686702,1.126761
782,90,892.86,5,4,2,4,3,131.710791,119.801203,6,1.031698,19,1.973794,1.388889
783,48,1190.48,4,4,2,4,20,191.014306,119.310428,6,1.759656,19,2.875809,1.086957
785,29,1785.71,5,4,2,4,3,355.913646,296.894147,6,2.938201,18,3.689692,1.578947
790,72,3273.81,5,4,0,4,3,229.206777,73.574684,5,2.390246,17,1.948688,2.592593
791,29,2232.14,5,4,2,4,3,185.769274,157.698949,7,1.264869,17,1.418399,2.089552
792,48,5773.81,9,4,0,4,3,74.182745,77.786847,6,0.586328,18,1.082656,3
799,72,2619.05,3,4,2,1,4,592.398761,228.394428,6,4.776598,18,8.526439,2.727273
803,91,1488.1,5,4,3,2,9,139.317987,99.680291,6,0.678399,15,1.723606,4.615385
804,56,3125,2,4,2,2,3,281.496407,144.537711,2,2.485674,20,4.082182,2.5
805,120,4761.9,4,4,2,2,3,200.128969,164.471839,7,2.424248,18,3.44768,1.904762
809,49,2559.52,4,4,3,2,10,123.421478,60.709934,6,3.095051,19,2.328365,1.075269
813,120,2172.62,11,4,2,1,9,124.985894,52.773085,7,1.245238,19,0.98836,1.818182
814,49,1785.71,5,4,2,2,5,95.384152,53.364553,7,1.546364,19,1.43894,2.564103
816,108,2083.33,2,4,2,2,9,526.19479,128.082603,7,7.105049,20,7.844899,2.285714
819,36,2976.19,4,4,2,2,4,996.290623,285.350427,8,11.031607,18,12.522542,3.243243
822,63,7440.48,7,4,3,2,9,393.319095,106.530625,7,10.24243,20,6.889355,1.904762
826,90,446.43,3,4,2,2,9,243.4996,102.47783,5,5.914285,19,4.783679,1.612903
827,35,2380.95,3,4,2,2,4,387.331045,106.362275,8,3.332523,19,4.086284,2.173913
830,240,2797.62,2,4,3,2,15,713.301841,837.648229,7,5.094944,18,6.241726,2.222222
833,210,7440.48,3,4,3,6,2,658.947959,628.845958,7,7.480955,18,12.285411,2.181818
834,195,0,3,4,3,2,28,1023.328004,932.864354,8,11.877517,18,10.301575,2.173913
3,210,27855.15,2,4,3,6,2,994.282506,569.030589,7,5.512601,20,8.28832,1.904762
4,180,11142.06,2,7,3,2,5,619.423681,404.916203,10,6.521461,18,5.361145,2.162162
5,190,27855.15,5,7,3,2,10,884.76718,510.245011,7,12.142991,20,13.113563,1.702128
6,190,22284.12,3,7,3,6,1,538.049648,331.499595,7,11.216377,17,5.87336,2.222222
10,80,15320.33,5,0,3,2,13,554.679979,405.133445,6,3.599299,17,4.47715,2.8
11,80,1309.19,3,0,3,2,14,605.951366,421.836118,9,3.394726,17,6.76802,2.916667
12,80,5571.03,1,0,3,2,13,249.52274,200.98027,4,1.802885,20,1.427355,2.051282
14,70,12451.25,6,0,2,2,6,528.844564,472.252682,8,2.571487,17,6.284968,3.333333
16,80,2618.38,7,0,3,2,6,971.023747,615.621167,5,6.012949,17,7.085506,3.043478
17,70,4094.71,5,0,3,2,6,788.21495,631.112013,6,6.329939,16,8.10954,3.333333
19,80,2618.38,6,0,3,2,4,177.198525,157.806094,6,0.622651,18,2.025827,2.142857
22,80,5571.03,3,0,3,2,13,541.374755,410.725031,5,5.516055,18,3.809772,2.857143
25,70,5292.48,4,0,3,2,12,211.624726,119.423261,9,1.506849,17,3.284395,3.5
26,80,1309.19,11,0,2,2,2,602.168032,445.079365,5,4.387713,18,8.492182,1.846154
28,80,9749.3,11,0,3,2,2,674.020419,466.731096,5,7.874409,16,5.114877,3.076923
32,80,1309.19,6,0,3,2,7,905.20804,537.238015,5,6.100524,18,9.341282,3.076923
33,70,4178.27,2,0,3,2,16,755.98125,513.585766,8,3.177733,18,8.655988,2.44898
34,80,6963.79,6,0,3,2,6,398.867288,265.629109,9,2.377857,18,3.658594,2.553191
35,80,6963.79,6,0,3,2,11,568.31059,396.428478,5,7.142238,18,6.25017,3.076923
37,150,3621.17,8,0,3,2,7,1029.352305,647.551226,6,9.910697,18,14.314771,1.904762
40,81,3342.62,7,0,0,4,3,300.699826,146.647486,6,2.272337,18,2.946519,1.6
41,110,696.38,7,4,0,1,14,148.421924,137.82905,6,0.760911,19,1.456149,2.564103
42,42,668.52,13,4,0,4,3,227.820869,273.178014,6,0.700342,18,1.170625,2.380952
51,96,3064.07,5,4,2,4,3,489.254932,399.206453,5,6.91968,16,6.6455,3.018868
53,66,3342.62,8,4,0,1,3,169.484295,138.071463,5,1.060718,18,1.417198,2.553191
60,63,696.38,6,4,0,1,3,155.422957,164.010573,9,0.209696,13,0.223944,0.008033
61,30,696.38,10,4,0,2,3,164.15411,151.166682,3,1.54657,17,1.522428,2.5
86,70,13924.79,4,4,2,5,3,310.462389,335.976341,7,5.672614,19,4.541333,2.222222
87,32,2228.41,5,4,2,5,3,130.582856,116.566958,6,1.774483,18,2.019364,1.791045
89,40,5849.58,7,4,2,5,2,96.779935,78.841109,6,1.451979,20,0.994566,1.012658
94,64,1253.48,3,4,2,2,4,95.609816,85.670241,6,0.05922,20,0.415362,2.051282
95,77,1559.89,4,4,2,8,3,225.962656,186.008565,6,1.867437,18,2.990398,1.904762
100,70,2228.41,7,4,2,5,4,283.380522,225.70618,7,1.732832,18,3.132705,1.621622
101,80,1671.31,3,4,2,1,2,100.097123,78.398386,6,1.062663,18,1.367314,2.4
105,40,9749.3,4,4,2,1,4,287.91418,201.479185,10,1.22702,18,2.955854,1.265823
106,88,1949.86,1,7,3,2,3,187.069794,164.032089,7,1.002033,17,2.191266,2.641509
114,80,1253.48,2,4,2,5,4,101.501156,98.480181,7,0.409314,19,1.562455,1.694915
119,28,1114.21,3,4,2,1,4,105.706782,89.147359,6,1.133526,19,2.03872,1.098901
842,120,13927.58,2,4,3,2,3,500.251588,356.918507,9,4.118439,21,3.04137,1.090909
846,180,8356.55,4,7,3,6,5,346.297954,260.402074,9,1.69141,17,6.971079,1.944444
847,180,16713.09,2,7,3,2,21,784.208449,545.933443,6,5.511098,18,8.877248,1.643836
848,154,8356.55,1,7,3,6,4,611.242803,425.505736,6,5.492565,19,7.125612,1.515152
849,120,11142.06,4,7,3,6,1,594.602605,440.480323,7,6.911031,21,6.79448,1.621622
850,210,19498.61,5,7,3,2,3,827.70325,519.854996,8,6.366701,18,9.823192,2.857143
851,190,22284.12,4,7,3,2,10,1216.343083,874.083012,8,17.570712,21,9.19675,1.538462
852,190,33426.18,2,7,3,6,5,1491.236268,1102.808659,7,12.418061,17,8.494358,3.333333
853,190,22284.12,5,7,3,2,21,1384.132943,924.710804,9,14.475957,17,9.321564,3
854,210,27855.15,4,7,3,6,9,775.683592,572.679007,8,7.853584,21,8.724131,0.983607
855,100,19498.61,4,7,3,2,1,846.227484,739.857004,7,6.397949,21,10.200292,1.935484
856,190,16713.09,4,7,3,2,5,391.551236,395.710232,6,7.702932,20,5.265853,1.111111
857,190,33426.18,5,7,3,6,5,621.137621,570.271921,7,8.364613,19,10.185307,1.111111
858,210,19498.61,4,7,3,6,7,570.38605,657.259283,7,7.77644,18,6.198668,2.926829
860,350,27855.15,4,7,3,2,3,1210.410873,740.331289,7,11.483333,20,10.906922,2.580645
861,330,33426.18,4,7,3,6,2,1605.193149,1151.53703,8,5.797958,17,8.69731,1.538462
862,100,13927.58,3,7,3,6,3,658.196305,448.025456,6,4.103114,17,6.748338,2.45614
863,224,14484.68,3,7,3,6,3,375.556439,283.404864,7,1.90882,17,3.986879,1.714286
864,210,33426.18,4,7,3,6,13,1152.65068,804.471142,6,11.945029,20,7.484316,1.538462
867,121,8356.55,3,7,3,2,4,784.49313,522.339974,6,8.838134,19,7.414198,1.408451
869,190,25069.64,4,7,3,2,4,690.798129,479.114773,10,4.166212,18,8.952067,2.4
870,1000,19498.61,4,7,3,2,1,794.540058,752.796493,6,7.360056,19,6.368056,1.960784
873,210,16713.09,3,7,3,2,1,864.852995,465.980269,10,9.396438,18,8.251179,2.666667
875,190,0,4,7,3,6,3,789.186477,605.711352,9,4.773723,18,6.51564,3
879,110,19498.61,1,7,3,2,2,270.435215,202.772658,10,1.68104,20,2.5748,2.758621
880,190,18941.5,4,7,3,2,5,1016.284744,747.376759,8,14.835228,21,11.659046,0.923077
883,180,36211.7,6,7,3,2,2,1384.703289,993.118431,7,13.051646,21,11.647772,0.923077
885,252,22284.12,3,7,3,2,9,971.320412,621.407814,8,6.676238,20,13.008734,1.126761
887,190,0,1,7,3,6,1,300.151381,323.618095,6,0.752786,20,2.303653,1.454545
889,180,22284.12,4,7,3,2,9,699.475182,379.942943,6,5.351916,19,4.827107,2.702703
891,190,27855.15,6,7,3,2,1,692.332438,332.293829,8,4.587186,20,9.128178,1.333333
892,250,0,5,7,3,2,5,1347.810415,861.56042,10,8.499736,21,17.331791,1.276596
899,80,4178.27,6,0,3,2,7,326.073412,292.33036,5,1.170598,18,2.701172,3.076923
900,70,5988.86,4,0,2,2,10,414.055538,368.500365,5,2.597874,21,5.304779,1.304348
902,80,2225.63,12,0,2,2,4,287.817229,196.532853,7,2.459469,18,2.723421,2.44898
903,70,4735.38,5,0,3,2,6,294.717792,264.75462,5,1.819472,18,2.900574,1.818182
904,80,38997.21,4,0,3,2,4,752.739168,541.630278,5,7.730569,19,3.582423,2.380952
905,70,2618.38,8,0,2,2,6,632.334653,465.139621,6,3.738339,17,6.888597,2.978723
909,70,2618.38,2,0,3,2,10,710.808099,359.800131,5,1.252354,18,3.833615,2.4
911,80,1309.19,4,0,3,2,5,330.832327,200.833305,6,1.209347,18,5.074266,1.5
912,80,6963.79,8,0,3,2,7,537.863281,374.228828,5,6.846664,19,5.528641,1.369863
913,70,3621.17,6,0,3,2,10,787.173807,458.757061,5,10.614436,17,5.848486,3.783784
914,80,13927.58,5,0,3,2,10,281.775477,217.068151,9,1.7966,18,2.534925,2.553191
916,70,5952.65,4,0,2,2,4,308.062044,216.401411,5,2.716766,19,4.693927,1.587302
919,70,8662.95,2,0,3,2,6,959.327044,586.342503,8,4.042546,18,7.056576,3.076923
921,80,696.38,5,0,3,2,13,493.67352,325.008332,7,4.744103,17,6.35008,3.846154
923,70,2618.38,2,0,3,2,5,385.268101,230.085385,7,2.929551,19,5.738264,2.325581
924,70,2785.52,7,0,3,2,6,538.47005,347.617695,5,5.538082,17,8.072367,3.111111
926,120,3342.62,5,4,0,4,1,278.872606,154.353833,10,1.504187,18,2.585619,3.076923
928,104,1114.21,9,4,0,1,3,622.25251,591.547172,6,2.302192,18,3.154909,2.608696
929,21,23398.33,5,4,0,4,3,373.538821,302.656427,8,2.303851,18,4.337914,1.6
932,44,1114.21,4,4,0,8,3,162.136971,145.660454,8,1.945131,18,1.910461,2.142857
933,54,1114.21,5,4,0,4,3,90.445929,135.879354,2,0.064151,20,0.02978,0.008033
934,40,1392.76,4,4,0,4,2,229.346905,424.091299,7,2.744128,18,3.942535,1.428571
937,49,5013.93,5,4,0,4,4,83.18862,57.202003,6,0.522878,21,0.633372,3.333333
942,45,835.65,2,4,0,4,2,271.292906,221.689386,8,0.714553,18,2.555884,1.967213
947,77,1671.31,4,4,2,4,3,79.025534,60.615787,5,0.22766,18,0.459939,2.727273
1148,42,3621.17,6,4,2,5,4,242.991723,223.88507,8,2.174613,20,2.528638,1.568627
1157,104,6239.55,4,4,2,5,4,123.411248,105.505275,8,1.119775,19,1.891795,2.564103
1158,66,2701.95,4,4,2,5,4,109.822578,108.807809,7,1.156816,19,1.312671,2.325581
1163,48,2785.52,1,4,2,1,4,99.918071,89.647801,7,1.853633,19,1.664683,2.083333
1165,88,4735.38,5,4,2,5,4,163.452908,156.666801,6,1.095052,18,2.823251,1.935484
1166,240,5571.03,2,4,3,2,15,838.485296,460.549552,6,10.85108,19,6.80008,1.5625
1167,255,13927.58,3,4,3,6,30,2375.152631,832.928427,8,7.329015,18,14.585575,3
1171,260,22284.12,2,7,3,2,5,585.891556,240.16569,6,5.299401,18,11.639736,1.37931
1172,192,19498.61,5,4,3,2,26,496.524413,225.515338,6,2.284287,19,7.601392,1.388889
1179,216,11142.06,1,4,3,2,1,694.380413,274.081982,7,5.403647,19,4.140882,2.222222
1181,121,0,1,4,3,6,13,571.276881,339.7064,10,4.949604,19,0.274928,1.538462
1182,121,1364.9,2,4,3,1,10,552.409168,324.233439,7,6.073843,21,4.22305,1.5
1183,64,4178.27,4,4,3,2,6,650.915397,331.093086,7,3.508437,18,6.563849,2.727273
1185,180,13927.58,5,4,3,6,8,1085.516048,577.238639,6,10.86578,20,9.003564,1.25
1186,156,7799.44,5,4,3,2,2,1001.68195,398.539843,6,9.405139,19,9.028846,1.639344
1187,165,0,4,4,3,2,16,1610.701266,752.894702,6,12.85793,18,13.458213,1.643836
1189,156,4456.82,4,7,3,2,11,822.085187,372.48862,7,5.911591,19,8.805143,1.960784
1191,306,13091.92,7,4,3,2,28,2030.618558,837.103052,6,17.453615,20,14.96578,1.818182
1192,289,9749.3,5,4,3,2,8,1591.732381,577.544147,7,7.676639,19,13.922215,2.564103
